# ang_deg abs(r)**2 abs(t)**2 r.real r.imag t.real t.imag
0.3413 0.182414 3.59683e-23 0.413231 -0.107954 3.47117e-12 4.89074e-12 
0.3432 0.173379 1.74284e-22 0.403518 -0.102727 -7.31161e-12 -1.0992e-11 
0.3451 0.164987 7.49953e-22 0.3942 -0.0979467 1.57472e-11 2.24049e-11 
0.347 0.157178 2.90378e-21 0.385259 -0.0935617 -3.43892e-11 -4.14869e-11 
0.3489 0.149902 1.02326e-20 0.376679 -0.0895266 7.41818e-11 6.87723e-11 
0.3508 0.143111 3.31418e-20 0.368441 -0.0858024 -1.53548e-10 -9.77995e-11 
0.3527 0.136762 9.95071e-20 0.360527 -0.0823557 2.97434e-10 1.05073e-10 
0.3546 0.130819 2.79035e-19 0.35292 -0.0791573 -5.27049e-10 -3.54166e-11 
0.3565 0.125246 7.3557e-19 0.345605 -0.076182 8.3137e-10 -2.10701e-10 
0.3584 0.120014 1.8333e-18 0.338564 -0.0734077 -1.11417e-09 7.69362e-10 
0.3603 0.115095 4.34187e-18 0.331784 -0.0708151 1.12696e-09 -1.75267e-09 
0.3622 0.110465 9.81488e-18 0.325251 -0.0683872 -4.35078e-10 3.10251e-09 
0.3641 0.1061 2.12604e-17 0.318951 -0.0661091 -1.48608e-09 -4.36486e-09 
0.366 0.101981 4.42853e-17 0.312872 -0.0639676 4.90798e-09 4.49411e-09 
0.3679 0.0980892 8.89829e-17 0.307004 -0.0619508 -9.22986e-09 -1.94747e-09 
0.3698 0.0944081 1.72953e-16 0.301334 -0.0600484 1.23252e-08 -4.58731e-09 
0.3717 0.0909226 3.25998e-16 0.295854 -0.0582511 -1.05025e-08 1.46865e-08 
0.3736 0.0876189 5.97236e-16 0.290553 -0.0565503 -2.59575e-11 -2.44384e-08 
0.3755 0.0844845 1.06563e-15 0.285423 -0.0549388 1.97529e-08 2.59895e-08 
0.3774 0.0815079 1.85523e-15 0.280456 -0.0534097 -4.17732e-08 -1.0499e-08 
0.3793 0.0786787 3.15679e-15 0.275643 -0.0519569 5.05131e-08 -2.46012e-08 
0.3812 0.075987 5.25785e-15 0.270978 -0.0505749 -2.78597e-08 6.69454e-08 
0.3831 0.0734243 8.58393e-15 0.266454 -0.0492588 -3.19172e-08 -8.69783e-08 
0.385 0.0709822 1.3754e-14 0.262064 -0.0480039 1.05546e-07 5.11281e-08 
0.3869 0.0686533 2.1654e-14 0.257803 -0.0468062 -1.38828e-07 4.87939e-08 
0.3888 0.0664308 3.35331e-14 0.253665 -0.0456619 7.52417e-08 -1.66948e-07 
0.3907 0.0643082 5.1128e-14 0.249644 -0.0445676 8.91981e-08 2.07778e-07 
0.3926 0.0622796 7.68212e-14 0.245735 -0.04352 -2.6331e-07 -8.65383e-08 
0.3945 0.0603396 1.13841e-13 0.241934 -0.0425163 2.87931e-07 -1.7589e-07 
0.3964 0.0584832 1.66512e-13 0.238236 -0.0415539 -5.65362e-08 4.04124e-07 
0.3983 0.0567055 2.40562e-13 0.234637 -0.0406302 -3.38368e-07 -3.55062e-07 
0.4002 0.0550022 3.43499e-13 0.231134 -0.039743 5.82724e-07 -6.26979e-08 
0.4021 0.0533694 4.8507e-13 0.227721 -0.0388902 -3.52804e-07 6.00499e-07 
0.404 0.0518031 6.77813e-13 0.224396 -0.0380699 -3.33062e-07 -7.52916e-07 
0.4059 0.0502998 9.37712e-13 0.221156 -0.0372803 9.50583e-07 1.84673e-07 
0.4078 0.0488562 1.28498e-12 0.217997 -0.0365197 -8.02013e-07 8.01094e-07 
0.4097 0.0474693 1.74496e-12 0.214915 -0.0357865 -2.68343e-07 -1.29343e-06 
0.4116 0.0461362 2.34923e-12 0.21191 -0.0350794 1.43322e-06 5.43235e-07 
0.4135 0.0448541 3.13681e-12 0.208976 -0.034397 -1.40498e-06 1.07835e-06 
0.4154 0.0436206 4.15562e-12 0.206112 -0.033738 -2.3053e-07 -2.02546e-06 
0.4173 0.0424331 5.46413e-12 0.203316 -0.0331013 2.13843e-06 9.44068e-07 
0.4192 0.0412896 7.13324e-12 0.200585 -0.0324858 -2.14569e-06 1.59036e-06 
0.4211 0.0401879 9.2484e-12 0.197916 -0.0318905 -4.00657e-07 -3.01461e-06 
0.423 0.039126 1.19121e-11 0.195309 -0.0313143 3.22723e-06 1.22356e-06 
0.4249 0.0381022 1.52465e-11 0.192759 -0.0307565 -2.92329e-06 2.58859e-06 
0.4268 0.0371145 1.93964e-11 0.190267 -0.0302161 -1.09667e-06 -4.26541e-06 
0.4287 0.0361614 2.45331e-11 0.187829 -0.0296924 4.84308e-06 1.03814e-06 
0.4306 0.0352413 3.08576e-11 0.185444 -0.0291846 -3.4233e-06 4.37478e-06 
0.4325 0.0343528 3.86051e-11 0.183111 -0.028692 -2.77905e-06 -5.55715e-06 
0.4344 0.0334944 4.80494e-11 0.180827 -0.028214 6.92863e-06 -2.08544e-07 
0.4363 0.0326649 5.95085e-11 0.178591 -0.02775 -2.9636e-06 7.12219e-06 
0.4382 0.0318629 7.33494e-11 0.176402 -0.0272993 -5.90681e-06 -6.20154e-06 
